position_index,position_m,position_nm,position_over_box_width,quantum_number_n,wavefunction_m_neg_half,probability_density_m_inv,box_width_times_density
34,1.6999999999999999e-11,0.016999999999999998,0.016999999999999998,3,7134.6937572474253,50903855.00970538,0.05090385500970538
34,1.6999999999999999e-11,0.016999999999999998,0.016999999999999998,4,9481.2461899796854,89894029.315004304,0.089894029315004315
35,1.7500000000000001e-11,0.017500000000000002,0.017499999999999998,1,2457.4467532014423,6039044.5448203105,0.0060390445448203108
35,1.7500000000000001e-11,0.017500000000000002,0.017499999999999998,2,4907.467581273726,24083238.061252594,0.024083238061252597
35,1.7500000000000001e-11,0.017500000000000002,0.017499999999999998,3,7342.6589987861125,53914641.172454678,0.053914641172454682
35,1.7500000000000001e-11,0.017500000000000002,0.017499999999999998,4,9755.6623318963047,95172947.533980444,0.095172947533980451
36,1.7999999999999999e-11,0.017999999999999999,0.017999999999999999,1,2527.5857018094534,6388689.4799915869,0.0063886894799915876
36,1.7999999999999999e-11,0.017999999999999999,0.017999999999999999,2,5047.0909654396792,25473127.213422831,0.025473127213422833
36,1.7999999999999999e-11,0.017999999999999999,0.017999999999999999,3,7550.461185062507,57009464.107135519,0.057009464107135525
36,1.7999999999999999e-11,0.017999999999999999,0.017999999999999999,4,10029.693336968428,100594748.43362889,0.10059474843362889
37,1.8500000000000001e-11,0.018499999999999999,0.018499999999999999,1,2597.7184138510061,6748140.9576605866,0.0067481409576605868
37,1.8500000000000001e-11,0.018499999999999999,0.018499999999999999,2,5186.6645368553991,26901489.017873432,0.026901489017873433
37,1.8500000000000001e-11,0.018499999999999999,0.018499999999999999,3,7758.0957015030626,60188048.9136803,0.060188048913680306
37,1.8500000000000001e-11,0.018499999999999999,0.018499999999999999,4,10303.328386921197,106158575.84873617,0.10615857584873617
38,1.8999999999999999e-11,0.019,0.019,1,2667.8447162806033,7117395.4301863322,0.0071173954301863331
38,1.8999999999999999e-11,0.019,0.019,2,5326.1869179860787,28368267.085326042,0.028368267085326044
38,1.8999999999999999e-11,0.019,0.019,3,7965.5579372576049,63450113.25180763,0.063450113251807633
38,1.8999999999999999e-11,0.019,0.019,4,10576.556679111374,111863551.18645543,0.11186355118645544
39,1.9500000000000001e-11,0.0195,0.0195,1,2737.9644360685656,7496449.2531762589,0.0074964492531762591
39,1.9500000000000001e-11,0.0195,0.0195,2,5465.656731802148,29873403.509894136,0.029873403509894137
39,1.9500000000000001e-11,0.0195,0.0195,3,8172.8432853017193,66795367.366101399,0.066795367366101407
